Fecha y hora,Departamento,Jurisdiccion,Tipo de siniestro,Vehiculo,Rol,Edad,Sexo,Dias Fallecidos,Otro vehiculo,Lugar del Siniestro,Latitud,Longitud
2/6/2013 20:00:00,ROCHA,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,N,M,0,AUTO,RUTA 15 km. 193,-34.4878288,-54.319523
2/7/2013 12:20:00,CERRO LARGO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,82,F,0,OMNIBUS,DOROTEO NAVARRETE esq. DOCTOR LUIS ALBERTO DE HERRERA,-32.3698311,-54.1654816
2/7/2013 14:00:00,MONTEVIDEO,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,59,M,0,CAMION,RUTA 5 esq. RUTA 102,-34.793125,-56.0730363
2/7/2013 19:08:00,TACUAREMBO,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,59,M,0,CAMION,RUTA 26 esq. APOLO XI,-31.7618408,-55.6971016
2/8/2013 6:00:00,CANELONES,NACIONAL,CAIDA,MOTO,PASAJERO,23,F,1,,RUTA 7 km. 45,-34.7679203,-55.7678729
2/8/2013 23:00:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,20,M,0,AUTO,BULEVAR BATLLE Y ORDOóEZ esq. TERMOPILAS,-34.8602104,-56.1728287
2/10/2013 6:30:00,MONTEVIDEO,DEPARTAMENTAL,DESPISTE,AUTO,PASAJERO,24,F,0,,AVENIDA LUIS BATLLE BERRES esq. CAMINO PASO DE LA ARENA,-34.8217674,-56.3103671
2/10/2013 16:00:00,FLORIDA,DEPARTAMENTAL,CAIDA,MOTO,CONDUCTOR,49,M,1,,RUTA 14 a aprox. 6 Kms 800 mts. de intersecci«n con RUTA 6,0,0
2/11/2013 7:30:00,MALDONADO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,22,M,0,CAMIONETA,AVENIDA APARICIO SARAVIA esq. SAN PABLO,-34.6277617,-54.9611836
2/11/2013 7:30:00,MALDONADO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,CAMIONETA,PASAJERO,26,M,0,AUTO,AVENIDA APARICIO SARAVIA esq. SAN PABLO,-34.6277617,-54.9611836
2/11/2013 7:30:00,MALDONADO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,AUTO,PASAJERO,27,M,0,CAMIONETA,AVENIDA APARICIO SARAVIA esq. SAN PABLO,-34.6277617,-54.9611836
