Fecha y hora,Departamento,JurisdicciÆn ,Tipo de siniestro,Veh–culo,Rol,Edad,Sexo,Fallecido a los (D–as),Otro veh–culo,Lugar del Siniestro,0.0,0.0
11/02/2013 16:05,CANELONES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,17,M,1,OMNIBUS,JOSE BATLLE Y ORDOÛEZ esq. PEDRO ROSA GIFFUNI,-34.7628403,-56.2257309
11/02/2013 17:15,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,22,M,0,AUTO,AVENIDA LUIS BATLLE BERRES esq. TURUBI,-34.8462668,-56.2434691
13/02/2013 03:40,CERRO LARGO,DEPARTAMENTAL,DESPISTE,MOTO,CONDUCTOR,39,M,1,,AVENIDA CENTENARIO esq. PEREZ VILA,-32.5875511,-53.3806381
14/02/2013 14:15,FLORIDA,NACIONAL,COLISION CON OBSTACULO,AUTO,CONDUCTOR,83,M,0,,RUTA 5 km. 158,-33.7297462,-56.3249493
14/02/2013 14:15,FLORIDA,NACIONAL,COLISION CON OBSTACULO,AUTO,PASAJERO,78,F,0,,RUTA 5 km. 158,-33.7297462,-56.3249493
16/02/2013 03:00,SALTO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,27,M,0,CAMIONETA,BRASIL esq. OSIMANI Y LERENA,-31.3878098,-57.9625816
16/02/2013 06:35,COLONIA,DEPARTAMENTAL,CAIDA,MOTO,CONDUCTOR,18,M,1,,GENERAL JOSE DE SAN MARTIN esq. URUGUAY,-34.0036087,-58.2861214
16/02/2013 09:55,CANELONES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,N,M,1,MOTO,CAMINO AMERICA esq. RINCON,-34.516667,-56.28333300000001
16/02/2013 21:50,SALTO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,43,M,1,MOTO,CAMINO DEPARTAMENTAL A RIVERA frente a SAN PEDRO,-31.3546009,-57.7627716
17/02/2013 05:10,CANELONES,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,16,M,0,AUTO,RUTA 12 km. 79,-34.5214738,-56.2999351
